id,usaf,wban,stname,ctry,fips,state,call,lat,lon,elev,count,max,min,obs
010420-99999,010420,99999,HASVIK-SLUSKFJELLET,NO,NO,,,70.617,22.45,438.0,2,2009,2008,257
010430-99999,010430,99999,LOPPA,NO,NO,,,70.333,21.467,11.0,8,2007,1979,11
010435-99999,010435,99999,HASVIK,NO,NO,,ENHK,70.483,22.15,6.0,17,2009,1975,4008
010450-99999,010450,99999,NORDSTRAUM I KVAENA,NO,NO,,,69.833,21.883,6.0,5,1993,1987,6
010460-99999,010460,99999,SORKJOSEN,NO,NO,,ENSR,69.783,20.967,6.0,28,2009,1975,7246
010470-99999,010470,99999,KAUTOKEINO,NO,NO,,ENKA,69.0,23.033,307.0,37,2009,1973,11224
010490-99999,010490,99999,ALTA LUFTHAVN,NO,NO,,ENAT,69.983,23.367,3.0,37,2009,1973,11980
010510-99999,010510,99999,SUOLOVUOPMI,NO,NO,,,69.583,23.533,374.0,4,1991,1986,7
010520-99999,010520,99999,HAMMERFEST,NO,NO,,ENHF,70.667,23.667,81.0,28,2009,1941,9288
010530-99999,010530,99999,HAMMERFEST RADIO,NO,NO,,,70.683,23.683,70.0,15,1987,1973,5048
010550-99999,010550,99999,FRUHOLMEN FYR,NO,NO,,,71.1,24.0,14.0,41,2009,1955,14025
010570-99999,010570,99999,CUOVDDATMOHKKI,NO,NO,,,69.367,24.433,286.0,2,1988,1983,2
010580-99999,010580,99999,SUOLOVUOPMI LULIT,NO,NO,,,69.567,23.533,381.0,5,2009,2005,1525
010590-99999,010590,99999,BANAK,NO,NO,,ENNA,70.067,24.983,8.0,37,2009,1973,12134
010610-99999,010610,99999,BRENNELV,NO,NO,,,70.067,25.117,34.0,9,1981,1973,3232
010620-99999,010620,99999,HOPEN,NO,SV,,ENHO,76.5,25.067,10.0,41,2009,1955,14152
010630-99999,010630,99999,KISTRAND III,NO,NO,,,70.45,25.217,6.0,13,1986,1973,1621
010650-99999,010650,99999,KARASJOK,NO,NO,,,69.467,25.517,133.0,22,2009,1973,4166
010660-99999,010660,99999,HELNES FYR,NO,NO,,,71.067,26.233,33.0,8,1991,1973,11
010670-99999,010670,99999,LEVAJOK-EVJEN,NO,NO,,,69.9,26.417,112.0,10,1982,1973,881
010680-99999,010680,99999,HONNINGSVAG/VALAN,NO,NO,,ENHV,71.017,25.983,14.0,26,2009,1984,8400
010740-99999,010740,99999,MEHAMN,NO,NO,,ENMH,71.033,27.833,13.0,29,2009,1975,7966
010750-99999,010750,99999,RUSTEFJELBMA,NO,NO,,,70.4,28.2,11.0,37,2009,1973,8481
010780-99999,010780,99999,SLETTNES FYR,NO,NO,,,71.1,28.217,10.0,37,2009,1973,13261
010830-99999,010830,99999,BERLEVAG,NO,NO,,ENBV,70.867,29.033,13.0,30,2009,1975,8010
010840-99999,010840,99999,PASVIK,NO,NO,,,69.167,29.25,54.0,4,1993,1988,4
010880-99999,010880,99999,VADSO,NO,NO,,ENVD,70.067,29.85,39.0,30,2009,1975,8875
010881-99999,010881,99999,NARVIK III/FRAMNES,NO,NO,,ENNK,68.467,17.5,23.0,5,2009,2005,1488
010882-99999,010882,99999,ROEROS,NO,NO,,ENRO,62.567,11.333,626.0,5,2009,2005,1519
010883-99999,010883,99999,SANDANE/ANDA,NO,NO,,ENSD,61.833,6.117,60.0,5,2009,2005,1524
010884-99999,010884,99999,SKIEN GEITERYGGEN,NO,NO,,ENSN,59.183,9.567,141.0,5,2009,2005,1371
010885-99999,010885,99999,BATSFJORD,NO,NO,,ENBS,70.6,29.733,149.0,16,2009,1994,5155
010886-99999,010886,99999,SLEIPNER A OIL PLATF,NO,NO,,ENSL,58.367,1.9,30.0,3,2009,2005,643
010890-99999,010890,99999,KIRKENES,NO,NO,,ENKR,69.733,29.9,91.0,44,2009,1940,15316
010920-99999,010920,99999,MAKKAUR FRY,NO,NO,,,70.7,30.083,9.0,23,2009,1973,3242
010970-99999,010970,99999,SVARTNES,NO,NO,,ENSS,70.35,31.05,12.0,17,2009,1993,5095
010980-99999,010980,99999,VARDO,NO,NO,,,70.367,31.1,15.0,41,2009,1955,14047
011020-99999,011020,99999,SKLINNA FYR,NO,NO,,,65.2,11.0,16.0,35,2009,1975,12498
011025-99999,011025,99999,HEIDRUN,NO,NO,,ENHE,65.333,7.317,80.0,11,2009,1999,3697
011030-99999,011030,99999,LEKA,NO,NO,,,65.099,11.7,47.0,29,2007,1973,5279
011040-99999,011040,99999,ROTVAER,NO,NO,,,68.367,15.95,8.0,2,2008,2007,203
011050-99999,011050,99999,ROTVAER,NO,NO,,,68.367,15.95,8.0,8,2009,1973,2406
011060-99999,011060,99999,ROEST III,NO,NO,,,67.517,12.1,2.0,26,2008,1979,7808
011070-99999,011070,99999,ROST FLYPLASS,NO,NO,,ENRS,67.517,12.1,4.0,22,2009,1988,6360
011080-99999,011080,99999,VEGA-VALLSJO,NO,NO,,,65.7,11.85,9.0,7,2008,1992,10
011090-99999,011090,99999,SKALVAER,NO,NO,,,65.867,12.183,6.0,6,1980,1973,13
011100-99999,011100,99999,YTTERHOLMEN FYR,NO,NO,,,66.0,11.683,33.0,8,2003,1996,2323
011120-99999,011120,99999,BRONNOYSUND/BRONNOY,NO,NO,,ENBN,65.467,12.217,9.0,32,2009,1974,8944
011130-99999,011130,99999,GLOMFJORD,NO,NO,,,66.8,13.983,39.0,6,2009,2004,1758
011133-99999,011133,99999,DAGALI,NO,NO,,ENDI,60.417,8.517,798.0,18,2003,1986,4396
011150-99999,011150,99999,MYKEN,NO,NO,,,66.767,12.483,13.0,37,2009,1973,11227
011160-99999,011160,99999,SANDNESSJOEN/STOKKA,NO,NO,,ENST,65.967,12.467,17.0,31,2009,1973,8962
011170-99999,011170,99999,TJOTTA,NO,NO,,,65.833,12.433,21.0,1,2007,2007,7
011210-99999,011210,99999,SOLVAER III,NO,NO,,,66.367,12.617,10.0,37,2009,1973,9678
011220-99999,011220,99999,MOSJOEN KJAERSTAD,NO,NO,,ENMS,65.783,13.217,73.0,22,2009,1988,7447
011240-99999,011240,99999,KJOBLI I SNASA,NO,NO,,,64.167,12.467,195.0,1,2007,2007,8
011310-99999,011310,99999,GLAPEN LIGHTHOUSE,NO,NO,,,67.883,13.05,31.0,13,1985,1973,1464
011320-99999,011320,99999,MAJAVATN V,NO,NO,,,65.167,13.367,319.0,2,2009,2008,482
011340-99999,011340,99999,MAJAVATN III,NO,NO,,,65.183,13.417,339.0,13,2007,1977,27
011370-99999,011370,99999,STOTT,NO,NO,,,66.933,13.45,12.0,1,2007,2007,2
011380-99999,011380,99999,TENNHOLMEN (LGT-H),NO,NO,,,67.3,13.5,14.0,19,2007,1985,4528
011410-99999,011410,99999,LEKNES,NO,NO,,ENLK,68.15,13.617,26.0,30,2009,1975,8832
